"links","altname","contact","customer","datecreated","employee","entityid","entitytitle","group","id","isinactive","isperson","lastmodifieddate","othername","toplevelparent","type","vendor","comments","email","entitynumber","phone","firstname","lastname","salutation","altphone","mobilephone","fax","parent","middlename"
"[]","-Accountant-","-3","-3","09/23/2023","-3","-Accountant-","-Accountant-","-3","-3","F","F","09/23/2023","-3","-3","Vendor","-3",,,,,,,,,,,,
"[]","Hooli","3","3","09/30/2023","3","1","1 Hooli","3","3","F","F","07/11/2024","3","3","CustJob","3","1234","newemailtest@example.com","1","123-456-7890",,,,,,,,
"[]","Anonymous Customer Parent Company","4","4","08/13/2024","4","2","2 Anonymous Customer Parent Company","4","4","F","F","07/24/2024","4","4","CustJob","4","1234","newemailtest@example.com","2","123-456-7890",,,,,,,,
"[]","AAA Consulting","514","514","10/4/2023","514","AAA Consulting","AAA Consulting","514","514","F","F","07/18/2024","514","514","Vendor","514",,"Info@aaaconsulting.com",,"650-190-4300",,,,,,,,
"[]","ACOM Business Solutions","516","516","10/4/2023","516","ACOM Business Solutions","ACOM Business Solutions","516","516","F","F","07/18/2024","516","516","Vendor","516",,"MelissaT@acom.com",,"650-564-2001",,,,,,,,
"[]","Adriondack Networking","867","867","12/22/2023","867","Adriondack Networking","Adriondack Networking","867","867","F","F","07/18/2024","867","867","Vendor","867",,"purchasing@adriondack.com",,"(888) 118-2288",,,,,,,,
"[]","Alex High03","860","860","12/4/2023","860","Alex High03","Alex High03","860","860","F","T","07/18/2024","860","860","Employee","860",,"ahigh03@netsuite.com",,,"Alex","High03",,,,,,
"[]","All Customers","810","810","02/26/2024","810","All Customers","All Customers","810","810","F","F","02/26/2024","810","810","Group","810",,,,,,,,,,,,
"[]","Apple Store","862","862","12/8/2023","862","Apple Store","Apple Store","862","862","F","F","12/8/2023","862","862","Vendor","862",,,,"(650) 572-9000",,,,,,,,
"[]","Brocade Communications Systems, Inc.","868","868","12/23/2023","868","Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.","868","868","F","F","07/18/2024","868","868","Vendor","868",,"sales@brocade.com",,"1 (650) 333-8000",,,,,,,,
"[]","C W","838","838","12/19/2023","838","C W","C W","838","838","F","T","07/18/2024","838","838","Employee","838",,"cwrabsatt03@netsuite.com",,,"C","W",,,,,,
"[]","Christina Wenk-Rabsatt","861","861","12/4/2023","861","Christina Wenk-Rabsatt","Christina Wenk-Rabsatt","861","861","F","T","07/18/2024","861","861","Employee","861",,"cwrabsatt@netsuite.com",,,"Christina","Wenk-Rabsatt",,,,,,
"[]","Demo","834","834","12/8/2023","834","Demo","Demo","834","834","F","F","11/29/2023","834","834","Vendor","834",,,,,,,,,,,,
"[]","Digital Supply","738","738","10/11/2023","738","Digital Supply","Digital Supply","738","738","F","F","07/18/2024","738","738","Vendor","738",,"medwards@digsupply.com",,"317-542-9517",,,,,,,,
"[]","Hasan Yorukoglu","5","5","09/27/2023","5","Hasan Yorukoglu","Hasan Yorukoglu","5","5","F","T","07/18/2024","5","5","Employee","5",,"hydemo@netsuite.com",,"(836) 698-0002","Hasan","Yorukoglu",,,,,,
"[]","Jaime Villafuerte","799","799","11/15/2023","799","Jaime Villafuerte","Jaime Villafuerte","799","799","F","T","07/18/2024","799","799","Employee","799",,"jvillafuerte@netsuite.com",,,"Jaime","Villafuerte",,,,,,
"[]","Jaymee Hernandez","10","10","10/3/2023","10","Jaymee Hernandez","Jaymee Hernandez","10","10","F","T","07/18/2024","10","10","Employee","10",,"lhernandez2@netsuite.com",,"832-145-9874","Jaymee","Hernandez",,,,,,
"[]","Jed Fischer01","6","6","09/29/2023","6","Jed Fischer01","Jed Fischer01","6","6","F","T","07/18/2024","6","6","Employee","6",,"jfischer01@netsuite.com",,"852-001-1236","Jed","Fischer01","Dr.",,,,,
"[]","Jen Perdigones","804","804","12/31/2023","804","Jen Perdigones","Jen Perdigones","804","804","F","T","07/18/2024","804","804","Employee","804",,"jperdigones@netsuite.com",,,"Jen","Perdigones",,,,,,
"[]","Jenny Lunsford9","9","9","10/3/2023","9","Jenny Lunsford9","Jenny Lunsford9","9","9","F","T","07/18/2024","9","9","Employee","9",,"jlunsford9@netsuite.com",,"832-857-0001","Jenny","Lunsford9",,,,,,
"[]","Johnny Standard","789","789","11/4/2023","789","Johnny Standard","Johnny Standard","789","789","F","F","11/29/2023","789","789","OtherName","789","This account was provisioned from the - Suite Success SW Emerging Edition 16.1 STD - TSTDRV1521064 - created on 6/28/16.",,,,,,,,,,,
"[]","Jon Lidz","836","836","12/18/2023","836","Jon Lidz","Jon Lidz","836","836","F","T","07/18/2024","836","836","Employee","836",,"jlidz@netsuite.com",,,"Jon","Lidz",,,,,,
"[]","Kathryn Glass","-5","-5","09/23/2023","-5","Kathryn Glass","Kathryn Glass","-5","-5","F","T","07/24/2024","-5","-5","Employee","-5",,"erpfun061824vb@netsuite.com",,"832-699-9999","Kathryn","Glass",,"555-565-5555","55564555",,,
"[]","Kiko Teves","788","788","11/2/2023","788","Kiko Teves","Kiko Teves","788","788","F","T","07/18/2024","788","788","Employee","788",,"fteves5@netsuite.com",,,"Kiko","Teves",,,,,,
"[]","Lovely Santos 8","756","756","10/19/2023","756","Lovely Santos 8","Lovely Santos 8","756","756","F","T","07/18/2024","756","756","Employee","756",,"lasantos8@netsuite.com",,"897-001-6589","Lovely","Santos 8",,,,,,
"[]","Mel B","837","837","12/18/2023","837","Mel B","Mel B","837","837","F","T","07/18/2024","837","837","Employee","837",,"mbiner@netsuite.com",,,"Mel","B",,,,,,
"[]","Micro Shop","532","532","10/4/2023","532","Micro Shop","Micro Shop","532","532","F","F","07/18/2024","532","532","Vendor","532","Preferred Vendor","info@microshop.com",,"513-524-1000",,,,,,"513-524-1009",,
"[]","Minister of Finance BC : Minister of Finance BC (Parent Company)","971","971","12/24/2023","971","Minister of Finance BC (Parent Company)","Minister of Finance BC (Parent Company)","971","971","F","F","07/18/2024","971","949","Vendor","971",,"ehenderson@ministeroffrancebc.fr",,"(202) 555-0186",,,,,,,"949",
"[]","Nathan Gilbert","859","859","12/3/2023","859","Nathan Gilbert","Nathan Gilbert","859","859","F","T","07/18/2024","859","859","Employee","859",,"ngilbertdemo@netsuite.com",,,"Nathan","Gilbert",,,,,,
"[]","New York City : New York City (Parent Company)","972","972","12/24/2023","972","New York City (Parent Company)","New York City (Parent Company)","972","972","F","F","07/18/2024","972","950","Vendor","972",,"mhemmings@nyc.com",,"(202) 555-0159",,,,,,,"950",
"[]","New York County : New York County (Parent Company)","973","973","12/24/2023","973","New York County (Parent Company)","New York County (Parent Company)","973","973","F","F","07/18/2024","973","951","Vendor","973",,"arutherford@nycountry.com",,"(202) 555-0123",,,,,,,"951",
"[]","New York State : New York State (Parent Company)","974","974","12/24/2023","974","New York State (Parent Company)","New York State (Parent Company)","974","974","F","F","07/18/2024","974","952","Vendor","974",,"bwilkins@nystate.com",,"(202) 555-0199",,,,,,,"952",
"[]","Nick B Singh","818","818","12/3/2023","818","Nick B Singh","Nick B Singh","818","818","F","T","07/18/2024","818","818","Employee","818","original intern","erpfun061824vb@netsuite.com",,,"Nick","Singh","Mr.",,,,,"B"
"[]","Paolo De Leon","809","809","01/25/2024","809","Paolo De Leon","Paolo De Leon","809","809","F","T","07/18/2024","809","809","Employee","809",,"pdeleon@netsuite.com",,,"Paolo","De Leon",,,,,,
"[]","Peter Dunning","833","833","12/7/2023","833","Peter Dunning","Peter Dunning","833","833","F","T","07/18/2024","833","833","Employee","833",,"pdunning01@netsuite.com",,,"Peter","Dunning",,,,,,
"[]","Remelyn Ramin","807","807","01/12/2024","807","Remelyn Ramin","Remelyn Ramin","807","807","F","T","07/18/2024","807","807","Employee","807",,"rramin@netsuite.com",,,"Remelyn","Ramin",,,,,,
"[]","Remie Ramin","802","802","11/29/2023","802","Remie Ramin","Remie Ramin","802","802","F","T","07/18/2024","802","802","Employee","802",,"hgoldblatt01@netsuite.com",,"09985322482","Remie","Ramin",,"09985322482","09985322482",,,
"[]","Ron Villanueva","11","11","10/4/2023","11","Ron Villanueva","Ron Villanueva","11","11","F","T","07/18/2024","11","11","Employee","11",,"rvillanueva3@netsuite.com",,"832-887-0040","Ron","Villanueva",,,,,,
"[]","Roxanne Reyes","795","795","11/13/2023","795","Roxanne Reyes","Roxanne Reyes","795","795","F","T","07/18/2024","795","795","Employee","795",,"roxreyes@netsuite.com",,,"Roxanne","Reyes",,,,,,
"[]","SWV User","737","737","10/11/2023","737","SWV User","SWV User","737","737","F","T","07/18/2024","737","737","Employee","737",,"swvuser@netsuite.com",,"835-659-9777","SWV","User",,,,,,
"[]","Sammy T Wilson","1103","1103","11/22/2023","1103","Sammy T Wilson","Sammy T Wilson","1103","1103","F","T","07/18/2024","1103","1103","Employee","1103",,"swilson@tdss.com",,"(650) 464-1212","Sammy","Wilson",,"(650) 464-1200","(650) 467-5245",,,"T"
"[]","Store Tax Agency : Store Tax Agency (Parent Company)","975","975","12/24/2023","975","Store Tax Agency (Parent Company)","Store Tax Agency (Parent Company)","975","975","F","F","07/18/2024","975","957","Vendor","975",,"smackenzie@storetax.com",,"(518) 555-0118",,,,,,,"957",
"[]","Tax Agency CA : Tax Agency CA (Parent Company)","813","813","11/28/2023","813","Tax Agency CA (Parent Company)","Tax Agency CA (Parent Company)","813","813","F","F","11/28/2023","813","812","Vendor","813",,,,,,,,,,,"812",
"[]","Tax Agency NY","816","816","11/28/2023","816","Tax Agency NY","Tax Agency NY","816","816","F","F","11/28/2023","816","816","Vendor","816",,,,,,,,,,,,
